注文コード,注文日時,会員番号,お名前,メール,郵便番号,住所,TEL,商品コード,商品名,価格,数量
12,2022-08-09 11:41:21,0,a,test@tes,1,a,111-1111-1111,1,taro,1000,30
12,2022-08-09 11:41:21,0,a,test@tes,1,a,111-1111-1111,1,sama,1000,30
12,2022-08-09 11:41:21,0,a,test@tes,1,a,111-1111-1111,2,taro,200,1
12,2022-08-09 11:41:21,0,a,test@tes,1,a,111-1111-1111,2,sama,200,1
14,2022-08-09 11:51:56,0,a,test@tes,1,a,111-1111-1111,1,taro,1000,30
14,2022-08-09 11:51:56,0,a,test@tes,1,a,111-1111-1111,1,sama,1000,30
14,2022-08-09 11:51:56,0,a,test@tes,1,a,111-1111-1111,2,taro,200,1
14,2022-08-09 11:51:56,0,a,test@tes,1,a,111-1111-1111,2,sama,200,1
15,2022-08-09 11:53:08,0,a,test@tes,1,a,111-1111-1111,1,taro,1000,30
15,2022-08-09 11:53:08,0,a,test@tes,1,a,111-1111-1111,1,sama,1000,30
15,2022-08-09 11:53:08,0,a,test@tes,1,a,111-1111-1111,2,taro,200,1
15,2022-08-09 11:53:08,0,a,test@tes,1,a,111-1111-1111,2,sama,200,1
16,2022-08-09 11:55:30,0,a,test@tes,1,a,111-1111-1111,1,taro,1000,30
16,2022-08-09 11:55:30,0,a,test@tes,1,a,111-1111-1111,1,sama,1000,30
16,2022-08-09 11:55:30,0,a,test@tes,1,a,111-1111-1111,2,taro,200,1
16,2022-08-09 11:55:30,0,a,test@tes,1,a,111-1111-1111,2,sama,200,1
17,2022-08-09 11:56:53,0,a,test@tes,1,a,111-1111-1111,1,taro,1000,1
17,2022-08-09 11:56:53,0,a,test@tes,1,a,111-1111-1111,1,sama,1000,1
17,2022-08-09 11:56:53,0,a,test@tes,1,a,111-1111-1111,2,taro,200,1
17,2022-08-09 11:56:53,0,a,test@tes,1,a,111-1111-1111,2,sama,200,1
